Owner,Category,Qty,Vintage ,Winery ,Wine (Name),Varietal(s),Country ,State ,Region ,Appelation,Sub App,Vineyard/Cru,Retail Price ,Volume (mL),Drinking Window,Box #,Notes,Drank,Pulled 1,Double Check,Pull 1 To Drink,Ready to Drink
R,Red,1,1995,Robert Mondavi,Reserve Cabernet,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,Oakville,To Kalon,125,750,Medium,M7,,TRUE,TRUE,FALSE,FALSE,FALSE
M,White,1,2018,Alice et Olivier De Moor,L'Humeur du Temps,Other,France,,Chablis,,,,40,750,Medium,Domaine Wine Storage ,,TRUE,FALSE,FALSE,FALSE,FALSE
R,Sparkling,1,2008,Domain Chandon,Etoile,Other,USA,CA,Northern CA,,,,65,750,Now,Krug,,TRUE,TRUE,FALSE,FALSE,FALSE
R,Red,1,1995,Fonseca Guimaraens,Vintage Port,Other,Portugal,,,,Porto,,$100.00,750,Long,Own Colares Box,Purchased 2022,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2013,Dowsett Family Wines,Heart of the Hill Vineyard Mouvedre,Other,USA,WA,,Columbia Valley,Red Mountain,Heart of the Hill Vineyard,34,750,Now,MA1,,TRUE,TRUE,FALSE,FALSE,FALSE
R,Red,1,1997,Taylor's Port,Vintage Port,Other,Portugal,,,,Porto,,$100.00,750,Long,Own Colares Box,Purchased 2022,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2016,Bargetto Wines,Reserve Cabernet,Cabernet Sauvignon,USA,CA,Northern CA,Santa Cruz Mountains,,,60,750,Medium,M1,,TRUE,TRUE,FALSE,FALSE,FALSE
R,Red,1,2002,Bodegas Vega Sicilia,Unico,Other,Spain,,Ribera Del Duero,,,,$500.00,750,Medium,Home Wine Fridge,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2005,Chateau Dufort Vivens,Le Relais de Durfort Vivens,Bordeaux Blend - Left Bank,France,-,Bordeaux,Margaux,,,55,750,Medium,M/S1,,TRUE,TRUE,FALSE,FALSE,TRUE
R,Red,8,2010,Chateau Dufort Vivens,Le Relais de Durfort Vivens,Bordeaux Blend - Left Bank,France,-,Bordeaux,Margaux,,,$55.00,750,Medium,L7,,FALSE,FALSE,FALSE,FALSE,TRUE
R,Red,1,2012,Giuseppe Quintarelli,Ca Del Merlo,Other,Italy,,Veneto,,,,$110.00,750,Medium,Domaine Wine Storage ,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2013,Hall Wines,Jacks Masterpiece ,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,,,$180.00,750,Medium,M6,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2013,Elio Altare,Barolo - Cerretta Reserva,Nebbiolo,Italy,-,Piedmont,Serralunga d'Alba,Barolo,Cerretta,$140.00,750,Long,M/L1,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,2,2013,Trinite Estate,Acaibo,Bordeaux Blend - Left Bank,USA,CA,Northern CA,Sonoma County,,,75,750,Medium,M3,,TRUE,FALSE,FALSE,TRUE,TRUE
R,Red,1,2013,Sterling Vineyards,Yates Family Vineyard Cab Sauv,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,Mt. Veeder,Yates Family Vineyard,$140.00,750,Long,M6,,FALSE,FALSE,FALSE,FALSE,TRUE
R,Sparkling,1,2013,Domaine Carneros,La Reve Rosé,Other,USA,CA,Northern CA,,,,115,750,Short,Krug,,TRUE,FALSE,FALSE,TRUE,FALSE
R,Red,1,2016,Casa Lapostolle,Le Petit Clos Apalta,Bordeaux Blend - Left Bank,Chile,,Apalta,,,,50,750,Medium,Home Fridge,,TRUE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2013,Sterling Vineyards,Sleeping Lady Vineyard Cab Sauv,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,Yountville,Sleeping Lady Vineyard,$140.00,750,Long,M6,,FALSE,FALSE,FALSE,FALSE,TRUE
R,Red,1,2013,Robert Mondavi,Reseve Cabernet,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,Oakville,To Kalon Vineyard,$120.00,750,Medium,M6,,FALSE,FALSE,FALSE,FALSE,FALSE
